,address,zip_code,price,bed,bath,sqr_footage,property_link
128,1720 W 12th Ave #204,V6J 2E6,"$1,069,000",3 beds,1.5 baths,"1,177 ",https://www.redfin.com/bc/vancouver/1720-W-12th-Ave-V6J-2E6/unit-204/home/155434925
129,2228 W Broadway #710,V6K 0B1,"$720,000",1 bed,1 bath,586 ,https://www.redfin.com/bc/vancouver/2228-W-Broadway-V6K-0B1/unit-710/home/155934757
130,2065 W 12th Ave #302,V6J 5L9,"$1,099,000",2 beds,2 baths,"1,098 ",https://www.redfin.com/bc/vancouver/2065-W-12th-Ave-V6J-5L9/unit-302/home/155317602
131,2268 W Broadway #516,V6K 0B2,"$775,000",1 bed,1 bath,668 ,https://www.redfin.com/bc/vancouver/2268-W-Broadway-V6K-0B1/unit-516/home/155581269
132,2020 W 8th Ave #107,V6J 1W5,"$879,000",2 beds,2 baths,860 ,https://www.redfin.com/bc/vancouver/2020-W-8th-Ave-V6J-1W5/unit-107/home/155337469
133,1939 W 12th Ave,V6J 2G1,"$1,099,000",2 beds,1.5 baths,"1,060 ",https://www.redfin.com/bc/vancouver/1939-W-12th-Ave-V6J-2G1/home/155546426
134,2680 Arbutus St #307,V6J 5L8,"$887,800",2 beds,1 bath,809 ,https://www.redfin.com/bc/vancouver/2680-Arbutus-St-V6J-5L8/unit-307/home/155478858
135,2161 W 12th Ave #211,V6K 4S7,"$799,000",1 bed,1 bath,726 ,https://www.redfin.com/bc/vancouver/2161-W-12th-Ave-V6K-4S7/unit-211/home/155857027
136,2190 W 8th Ave #103,V6K 2A4,"$579,000",1 bed,1 bath,604 ,https://www.redfin.com/bc/vancouver/2190-W-8th-Ave-V6K-2A4/unit-103/home/155650768
137,1858 W 5th Ave #407,V6J 1P3,"$899,000",1 bed,1 bath,746 ,https://www.redfin.com/bc/vancouver/1858-W-5th-Ave-V6J-1P3/unit-407/home/155469504
138,2033 W 10th Ave #311,V6J 0H1,"$780,000",1 bed,1 bath,675 ,https://www.redfin.com/bc/vancouver/2033-W-10th-Ave-V6J-1Z4/unit-311/home/168458645
139,2190 8th Ave,V6K 2A4,"$848,000",2 beds,1.5 baths,800 ,https://www.redfin.com/bc/vancouver/2190-W-8th-Ave-V6K-2A4/home/155968855
140,1777 W 13th Ave #110,V6J 2H2,"$969,000",2 beds,1.5 baths,"1,138 ",https://www.redfin.com/bc/vancouver/1777-W-13th-Ave-V6J-2H2/unit-110/home/155346803
141,2160 W 8th Ave,V6K 2A4,"$2,099,000",3 beds,3 baths,"1,760 ",https://www.redfin.com/bc/vancouver/2160-W-8th-Ave-V6K-2A4/home/155944461
142,2528 Maple St #703,V6J 0B5,"$1,499,000",2 beds,2 baths,"1,237 ",https://www.redfin.com/bc/vancouver/2528-Maple-St-V6J-0B5/unit-703/home/155444709
143,2228 Marstrand Ave #404,V6K 4T1,"$1,198,000",2 beds,2 baths,953 ,https://www.redfin.com/bc/vancouver/2228-Marstrand-Ave-V6K-4T1/unit-404/home/155908584
144,3182 Burrard St,V6J 2L9,"$749,999",1 bed,1 bath,697 ,https://www.redfin.com/bc/vancouver/3182-Burrard-St-V6J-2L9/home/160499132
